2026-05-23 08:56:41,877 [parser] reading multistream index from /mnt/data/downloads/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 11:39:14,763 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:02:19,658 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:03:14,777 [parser] got 255166 unique offsets
2026-05-23 12:03:14,780 [parser] limited to first 10 offsets (test mode)
2026-05-23 12:03:16,170 [w325880] worker 9 block @10180767 decompress failed: 
2026-05-23 12:14:15,564 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:15:11,833 [parser] got 255166 unique offsets
2026-05-23 16:28:08,739 [loader] [LOADER] 22,000 docs written | 559,723 links written | 3,000 docs/min
2026-05-23 16:29:08,739 [loader] [LOADER] 26,500 docs written | 685,772 links written | 4,500 docs/min
2026-05-23 16:30:08,740 [loader] [LOADER] 26,500 docs written | 685,772 links written | 0 docs/min
2026-05-23 16:31:08,740 [loader] [LOADER] 26,500 docs written | 685,772 links written | 0 docs/min
2026-05-23 16:32:08,741 [loader] [LOADER] 26,500 docs written | 685,772 links written | 0 docs/min
2026-05-23 16:33:08,742 [loader] [LOADER] 26,500 docs written | 685,772 links written | 0 docs/min
2026-05-23 16:51:27,177 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 16:52:07,626 [parser] got 255166 unique offsets
2026-05-23 16:53:07,932 [loader] [LOADER] 27,000 docs written | 685,781 links written | 27,000 docs/min
2026-05-23 16:54:07,933 [loader] [LOADER] 28,500 docs written | 782,603 links written | 1,500 docs/min
2026-05-23 16:55:07,933 [loader] [LOADER] 32,000 docs written | 889,606 links written | 3,500 docs/min
2026-05-23 16:56:07,934 [loader] [LOADER] 35,000 docs written | 997,407 links written | 3,000 docs/min
2026-05-23 16:57:07,934 [loader] [LOADER] 38,500 docs written | 1,108,483 links written | 3,500 docs/min
2026-05-23 16:58:07,935 [loader] [LOADER] 42,500 docs written | 1,226,187 links written | 4,000 docs/min
2026-05-23 16:59:07,935 [loader] [LOADER] 44,500 docs written | 1,351,794 links written | 2,000 docs/min
2026-05-23 17:00:07,936 [loader] [LOADER] 50,500 docs written | 1,472,686 links written | 6,000 docs/min
2026-05-23 17:01:07,937 [loader] [LOADER] 52,000 docs written | 1,590,510 links written | 1,500 docs/min
2026-05-23 17:02:07,937 [loader] [LOADER] 57,000 docs written | 1,732,717 links written | 5,000 docs/min
2026-05-23 17:03:07,937 [loader] [LOADER] 59,500 docs written | 1,884,393 links written | 2,500 docs/min
2026-05-23 17:04:07,938 [loader] [LOADER] 66,000 docs written | 2,053,785 links written | 6,500 docs/min
2026-05-23 17:05:07,938 [loader] [LOADER] 71,500 docs written | 2,250,638 links written | 5,500 docs/min
2026-05-23 17:06:07,938 [loader] [LOADER] 77,500 docs written | 2,472,747 links written | 6,000 docs/min
2026-05-23 17:07:07,939 [loader] [LOADER] 81,000 docs written | 2,620,076 links written | 3,500 docs/min
2026-05-23 17:08:07,939 [loader] [LOADER] 83,500 docs written | 2,700,999 links written | 2,500 docs/min
2026-05-23 17:09:07,939 [loader] [LOADER] 87,500 docs written | 2,807,796 links written | 4,000 docs/min
2026-05-23 17:10:07,940 [loader] [LOADER] 90,000 docs written | 2,948,890 links written | 2,500 docs/min
2026-05-23 17:11:07,940 [loader] [LOADER] 97,500 docs written | 3,202,476 links written | 7,500 docs/min
2026-05-23 17:12:07,940 [loader] [LOADER] 109,500 docs written | 3,582,993 links written | 12,000 docs/min
2026-05-23 17:13:07,940 [loader] [LOADER] 134,000 docs written | 4,421,779 links written | 24,500 docs/min
2026-05-23 17:14:07,941 [loader] [LOADER] 169,000 docs written | 5,607,241 links written | 35,000 docs/min
2026-05-23 17:15:07,941 [loader] [LOADER] 198,500 docs written | 6,616,106 links written | 29,500 docs/min
2026-05-23 17:16:07,941 [loader] [LOADER] 206,000 docs written | 6,901,411 links written | 7,500 docs/min
